Municipality,Map URL,Flag URL,Coat of Arms URL
,"https://en.wikipedia.org/wiki/File:Flag_of_Adjuntas,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Escudo_de_Adjuntas%2C_Puerto_Rico.svg/50px-Escudo_de_Adjuntas%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Aguada_(PR).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Escudo_de_Aguada%2C_Puerto_Rico.svg/50px-Escudo_de_Aguada%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Aguadilla,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Escudo_de_Aguadilla%2C_Puerto_Rico.svg/50px-Escudo_de_Aguadilla%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Aguas_Buenas.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Escudo_de_Aguas_Buenas%2C_Puerto_Rico.svg/50px-Escudo_de_Aguas_Buenas%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Aibonito,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Escudo_de_Aibonito%2C_Puerto_Rico.svg/50px-Escudo_de_Aibonito%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_A%C3%B1asco.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Escudo_de_A%C3%B1asco%2C_Puerto_Rico.svg/50px-Escudo_de_A%C3%B1asco%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Arecibo,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Escudo_de_Arecibo%2C_Puerto_Rico.svg/50px-Escudo_de_Arecibo%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_official_of_Arroyo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Coat_of_Arms_official_of_Arroyo.svg/50px-Coat_of_Arms_official_of_Arroyo.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Flag_of_Barceloneta,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Escudo_de_Barceloneta%2C_Puerto_Rico.svg/50px-Escudo_de_Barceloneta%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Barranquitas.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Escudo_de_Barranquitas%2C_Puerto_Rico.svg/50px-Escudo_de_Barranquitas%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Bayamon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Coat_of_arms_of_Bayam%C3%B3n%2C_Puerto_Rico.svg/50px-Coat_of_arms_of_Bayam%C3%B3n%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Cabo_Rojo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Escudo_de_Cabo_Rojo%2C_Puerto_Rico.svg/50px-Escudo_de_Cabo_Rojo%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Caguas.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Coat_of_arms_of_Caguas.svg/50px-Coat_of_arms_of_Caguas.svg.png,N/A
,https://en.wikipedia.org/wiki/File:CamuyFlag.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Coat_of_arms_of_Camuy%2C_Puerto_Rico.svg/50px-Coat_of_arms_of_Camuy%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Can%C3%B3vanas,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Escudo_de_Can%C3%B3vanas%2C_Puerto_Rico.svg/60px-Escudo_de_Can%C3%B3vanas%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Flag_of_Carolina,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Escudo_de_Carolina%2C_Puerto_Rico.svg/50px-Escudo_de_Carolina%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Flag_of_Cata%C3%B1o,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Escudo_de_Cata%C3%B1o%2C_Puerto_Rico.svg/50px-Escudo_de_Cata%C3%B1o%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Cayey,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_de_Cayey%2C_Puerto_Rico.svg/50px-Escudo_de_Cayey%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:CeibaFlag.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Escudo_de_Ceiba%2C_Puerto_Rico.svg/50px-Escudo_de_Ceiba%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Ciales.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Escudo_de_Ciales%2C_Puerto_Rico.svg/50px-Escudo_de_Ciales%2C_Puerto_Rico.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Bandera_de_Cidra,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Escudo_de_Cidra%2C_Puerto_Rico.svg/50px-Escudo_de_Cidra%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Coamo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Escudo_de_Coamo%2C_Puerto_Rico.svg/50px-Escudo_de_Coamo%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Comerio.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Escudo_de_Comer%C3%ADo%2C_Puerto_Rico.svg/50px-Escudo_de_Comer%C3%ADo%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Corozal.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Coat_of_arms_of_Corozal%2C_Puerto_Rico.svg/50px-Coat_of_arms_of_Corozal%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Culebra_(Puerto_Rico).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Coat_of_arms_of_Culebra%2C_Puerto_Rico.svg/50px-Coat_of_arms_of_Culebra%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:DoradoFlag.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Escudo_de_Dorado%2C_Puerto_Rico.svg/50px-Escudo_de_Dorado%2C_Puerto_Rico.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Fajardo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Escudo_de_Fajardo_%28Puerto_Rico%29.svg/50px-Escudo_de_Fajardo_%28Puerto_Rico%29.svg.png,N/A
,"https://en.wikipedia.org/wiki/File:Flag_of_Florida,_Puerto_Rico.svg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Blason_ville_Florida_%28Porto-Rico%29.svg/50px-Blason_ville_Florida_%28Porto-Rico%29.svg.png,N/A
,https://en.wikipedia.org/wiki/File:Flag_of_Guanica.svg,N/A,N/A
